,Open,High,Low,Close,Volume
2020-12-22 09:15:00,69.05,71.35,69.05,70.4,1686750
2020-12-22 09:20:00,70.3,71.0,70.1,70.1,1435892
2020-12-22 09:25:00,69.95,69.95,66.8,67.35,2507921
2020-12-22 09:30:00,67.55,68.4,67.55,68.0,1942231
2020-12-22 09:35:00,68.05,68.95,67.8,67.95,1742649
2020-12-22 09:40:00,68.0,68.15,67.4,67.75,1034247
2020-12-22 09:45:00,67.75,68.05,67.35,68.05,887015
2020-12-22 09:50:00,68.25,68.85,68.2,68.75,908014
2020-12-22 09:55:00,68.75,69.6,68.5,68.65,1234706
2020-12-22 10:00:00,68.65,69.9,68.5,69.75,753979
2020-12-22 10:05:00,69.75,70.0,69.5,70.0,614275
2020-12-22 10:10:00,70.0,70.15,69.3,69.5,873043
2020-12-22 10:15:00,69.5,69.8,69.15,69.75,530182
2020-12-22 10:20:00,69.75,70.2,69.75,69.8,724139
2020-12-22 10:25:00,69.8,70.25,69.75,70.2,587212
2020-12-22 10:30:00,70.15,70.2,69.3,69.35,1003557
2020-12-22 10:35:00,69.35,69.35,69.1,69.15,555421
2020-12-22 10:40:00,69.3,69.4,69.1,69.25,246335
2020-12-22 10:45:00,69.15,69.25,68.55,68.8,810541
2020-12-22 10:50:00,68.75,69.0,68.6,68.75,559446
2020-12-22 10:55:00,68.6,68.8,68.5,68.8,410387
2020-12-22 11:00:00,68.75,69.45,68.75,69.45,463680
2020-12-22 11:05:00,69.45,69.75,69.45,69.75,569276
2020-12-22 11:10:00,69.9,69.9,69.4,69.4,539252
2020-12-22 11:15:00,69.4,69.7,69.3,69.5,507084
2020-12-22 11:20:00,69.5,69.65,69.3,69.45,379470
2020-12-22 11:25:00,69.4,69.65,69.4,69.55,423910
2020-12-22 11:30:00,69.55,69.6,69.5,69.5,407896
2020-12-22 11:35:00,69.5,69.6,69.3,69.55,440208
2020-12-22 11:40:00,69.5,69.55,69.0,69.2,396202
2020-12-22 11:45:00,69.2,69.4,69.1,69.4,356923
2020-12-22 11:50:00,69.35,69.45,69.05,69.1,307406
2020-12-22 11:55:00,69.15,69.25,69.05,69.15,139296
2020-12-22 12:00:00,69.15,69.2,68.9,69.15,348699
2020-12-22 12:05:00,69.15,69.3,69.0,69.2,259409
2020-12-22 12:10:00,69.15,69.3,69.1,69.3,225984
2020-12-22 12:15:00,69.2,69.25,68.7,68.9,654473
2020-12-22 12:20:00,68.9,69.25,68.85,69.05,358592
2020-12-22 12:25:00,69.05,69.1,68.8,68.85,278452
2020-12-22 12:30:00,68.85,68.85,68.6,68.7,374854
2020-12-22 12:35:00,68.7,69.4,68.6,69.3,681285
2020-12-22 12:40:00,69.2,69.5,69.15,69.25,380596
2020-12-22 12:45:00,69.3,69.35,69.15,69.25,183934
2020-12-22 12:50:00,69.2,69.25,68.95,69.15,184690
2020-12-22 12:55:00,69.15,69.4,69.1,69.2,212248
2020-12-22 13:00:00,69.2,69.3,69.05,69.3,237226
2020-12-22 13:05:00,69.3,69.3,69.0,69.1,146933
2020-12-22 13:10:00,69.15,69.2,69.0,69.05,276156
2020-12-22 13:15:00,69.1,69.6,69.1,69.6,371341
2020-12-22 13:20:00,69.6,69.65,69.35,69.6,319446
2020-12-22 13:25:00,69.6,69.8,69.4,69.5,398775
2020-12-22 13:30:00,69.45,69.5,69.2,69.45,250932
2020-12-22 13:35:00,69.45,69.8,69.4,69.8,243183
2020-12-22 13:40:00,69.75,70.35,69.75,70.2,810750
2020-12-22 13:45:00,70.25,70.3,69.85,69.95,461384
2020-12-22 13:50:00,69.95,71.1,69.9,70.7,1395593
2020-12-22 13:55:00,70.7,70.9,70.5,70.9,455388
2020-12-22 14:00:00,70.8,71.0,70.65,70.95,488812
2020-12-22 14:05:00,70.9,71.1,70.8,71.05,508717
2020-12-22 14:10:00,71.1,71.4,71.1,71.15,792753
2020-12-22 14:15:00,71.15,71.35,71.1,71.2,483573
2020-12-22 14:20:00,71.15,71.25,70.9,71.0,657692
2020-12-22 14:25:00,71.0,71.1,70.75,70.95,533335
2020-12-22 14:30:00,71.0,71.35,70.95,71.2,683901
2020-12-22 14:35:00,71.2,71.4,71.1,71.4,473436
2020-12-22 14:40:00,71.35,71.4,71.1,71.15,413356
2020-12-22 14:45:00,71.2,71.25,71.1,71.15,274673
2020-12-22 14:50:00,71.15,71.45,71.15,71.2,639065
2020-12-22 14:55:00,71.25,71.35,71.1,71.35,432940
2020-12-22 15:00:00,71.3,71.75,71.3,71.6,645495
2020-12-22 15:05:00,71.65,71.85,71.5,71.55,601348
2020-12-22 15:10:00,71.5,71.8,71.5,71.8,768201
2020-12-22 15:15:00,71.75,71.8,71.5,71.6,674454
2020-12-22 15:20:00,71.65,71.9,71.55,71.7,520267
2020-12-22 15:25:00,71.7,71.8,71.6,71.7,282604
